学校名称,郵便番号,所在地,電話番号
青山学院初等部,150-8366,渋谷区渋谷４−４−２５,03-3409-8111
小野学園小学校,140-0015,品川区西大井１−６−１３,03-3774-1151
学習院初等科,160-0011,新宿区若葉１−２３−１,03-3355-2171
川村小学校,171-0031,豊島区目白２−２２−３,03-3984-8321
暁星小学校,102-0071,千代田区富士見１−１−１３,03-3261-1510
国立音楽大学附属小学校,186-0005,国立市西１−１５−１２,042-572-3532
国立学園小学校,186-0004,国立市中２−６,042-575-0011
国本小学校,157-0067,世田谷区喜多見８−１５−３３,03-3416-4721
慶應義塾幼稚舎,150-0013,渋谷区恵比寿２−３５−１,03-3441-7221
啓明学園初等学校,196-0002,昭島市拝島町５−１１−１５,042-541-1003
光塩女子学院初等科,166-0003,杉並区高円寺南２−３３−２８,03-3315-1911
晃華学園小学校,182-8550,調布市佐須町５−２８−１,0424-83-4506
サレジオ小学校,187-0021,小平市上水南町４−７−１,042-321-0312
自由学園初等部,203-8521,東久留米市学園町１−８−１５,0424-22-3111
淑徳小学校,174-8588,板橋区前野町５−３−７,03-5392-8866
聖徳学園小学校,180-8601,武蔵野市境南町２−１１−８,0422-31-5121
昭和女子大学附属昭和小学校,154-8533,世田谷区太子堂１−７,03-3411-5114
白百合学園小学校,102-8185,千代田区九段北２−４−１,03-3234-6662
菅生学園初等学校,197-0801,あきる野市菅生１４６８,042-559-9101
聖学院小学校,114-8574,北区中里３−１３−１,03-3917-1555
成蹊小学校,180-8633,武蔵野市吉祥寺北町３−３−１,0422-37-3838
成城学園初等学校,157-8522,世田谷区祖師谷３−５２−３８,03-3482-1181
聖心女子学院初等科,108-0072,港区白金４−１１−１,03-3444-7671
聖ドミニコ学園小学校,157-0076,世田谷区岡本１−１０−１,03-3700-0017
星美学園小学校,115-8524,北区赤羽台４−２−１４,03-3906-0053
清明学園初等学校,145-0066,大田区南雪谷３−１２−２６,03-3726-7138
玉川学園小学部,194-8610,町田市玉川学園６−１−１,042-728-3543
帝京大学小学校,206-8561,多摩市和田１２５４−６,042-357-5577
田園調布雙葉小学校,158-8511,世田谷区玉川田園調布１−２０−９,03-3721-3994
東京三育小学校,177-0053,練馬区関町南２−８−４,03-3920-2450
東京女学館小学校,150-0012,渋谷区広尾３−７−１６,03-3400-0861
東京創価小学校,187-0023,小平市上水新町１３３５,042-345-2611
東京都市大学付属小学校,157-0066,世田谷区成城１−１２−１,03-3417-0104
東星学園小学校,204-0024,清瀬市梅園３−１４−４７,0424-93-3205
桐朋小学校,182-8510,調布市若葉町１−４１−１,03-3300-2111
桐朋学園小学校,186-0004,国立市中３−１−１０,042-577-2171
東洋英和女学院小学部,106-0032,港区六本木５−６−１４,03-5411-1322
トキワ松学園小学校,152-0003,目黒区碑文谷４−１７−１６,03-3713-8163
新渡戸文化小学校,164-8638,中野区本町６−３８−１,03-3381-0124
日本女子大学附属豊明小学校,112-8681,文京区目白台１−１６−７,03-5981-3800
雙葉小学校,102-0085,千代田区六番町１４−１,03-3263-0822
文教大学付属小学校,145-0065,大田区東雪谷２−３−１２,03-3720-1097
宝仙学園小学校,164-8631,中野区中央２−３３−２６,03-3365-0231
明星学園小学校,181-0001,三鷹市井の頭５−７−７,0422-43-2195
むさしの学園小学校,183-0002,府中市多磨町１−１９−１,042-361-9655
武蔵野東小学校,180-0012,武蔵野市緑町２−１−１０,0422-53-6211
明星小学校,183-8531,府中市栄町１−１,042-368-5111
目黒星美学園小学校,152-0003,目黒区碑文谷２−１７−６,03-3711-7571
立教小学校,171-0021,豊島区西池袋３−３６−２６,03-3985-2728
立教女学院小学校,168-8616,杉並区久我山４−２９−６０,03-3334-5102
和光小学校,156-0053,世田谷区桜２−１８−１８,03-3420-4353
和光鶴川小学校,195-0051,町田市真光寺町１２８２−１,042-736-0036
早稲田大学系属早稲田実業学校初等部,185-8505,国分寺市本町１−２−１,042-300-2121
